Acceleration_X1,Acceleration_Y1,Acceleration_Z1,Acceleration_X2,Acceleration_Y2,Acceleration_Z2,Acceleration_X3,Acceleration_Y3,Acceleration_Z3
-0.03278227937500006,-0.0871518902808341,-0.06481209324436722,0.050253782247265816,-0.09190954984375022,-0.001000704218750001,-0.08574669640624974,-0.08315229528080458,0.2231998621874996
-0.03348798156250007,-0.08401544562499998,-0.0629445425329938,0.04883333990351587,-0.09489869002160488,-0.001820385468749998,-0.08525460756230938,-0.0774822490625,0.2223952361470606
-0.03547328999999984,-0.08612987889041718,-0.06359261595399697,0.04954290171874986,-0.09088526671874993,-0.004883863437500009,-0.08740491921875028,-0.08187694296875009,0.22260470552206071
-0.0362176085937501,-0.08577916389041745,-0.06385374298524703,0.05120274558828117,-0.09326026736535437,-0.002790442031250009,-0.08610652125000001,-0.07839379437500005,0.22473403599081102
-0.03730302015624987,-0.0843343467187499,-0.06552578847049378,0.05178059124999978,-0.09169864142785455,-0.007790280624999968,-0.08618178240605959,-0.07863495625000003,0.22024395974080999
-0.03844535234374994,-0.08516856578125016,-0.06329747095399677,0.04861465727031239,-0.09103496687500019,-0.006582432812500016,-0.08676171793711879,-0.08285199453124992,0.22006665317831073
-0.03882212968750007,-0.0886623167029172,-0.06316409376649702,0.04897785328125021,-0.09023836953125004,-0.008672244843749987,-0.08718231053105965,-0.07673468890624982,0.21640686968750014
-0.0390177110937501,-0.08793626479625187,-0.06270451111024686,0.04816041812499999,-0.08986795078125016,-0.007541406875000002,-0.08875508234375007,-0.07814098406249989,0.21399583593749896
-0.03857639843749994,-0.08634685139041698,-0.06074068848699081,0.04665967453124973,-0.08900848095910474,-0.005462513593750001,-0.08439134796874997,-0.07772467234375016,0.22006589161581108
-0.03866061453125004,-0.08824820951541726,-0.06297370036199092,0.04559040656249996,-0.08803886426195948,-0.006492575781250014,-0.08703471521855938,-0.0692861770312499,0.21902382166912227
-0.03865029921875007,-0.08452327998416706,-0.062224910588117154,0.04592699203125005,-0.08879561845910466,-0.005330221718749992,-0.08555922359374986,-0.07686240171874988,0.2198756057812501
-0.0380641375,-0.08384706696791903,-0.06631152416537037,0.043891167559765604,-0.08765623249999976,-0.005384681562500006,-0.08799405265625035,-0.07623211062499995,0.22146378421874982
-0.03550490453124997,-0.0831407804370843,-0.06546378947787004,0.0438075615624999,-0.08996854455285483,-0.0033183978125000168,-0.0892770090625,-0.08036205499999972,0.22458836895956064
-0.03428460437500002,-0.08438713951541713,-0.06457568548524675,0.04362803875,-0.09260675363695951,-0.00010139859375000155,-0.09232960937499989,-0.07718463125000005,0.22567983656249996
-0.034835066718749946,-0.08617038560916722,-0.06208131744662035,0.04637828531250011,-0.09398438410570913,-0.0028285662500000014,-0.08893854515625003,-0.0800750060937499,0.2271057720845609
-0.035880299218749793,-0.08630832074958449,-0.05786098722049372,0.04843549828124994,-0.09144245531249984,-0.00026583390624999604,-0.08330822287480925,-0.07578138234375001,0.22804454349081155
-0.03488130937499993,-0.08422905998416745,-0.05783626768924338,0.046294083497265576,-0.08964429249999993,-0.00036542906249999976,-0.08307366999999993,-0.0791997859374999,0.22497589864706014
-0.03611943015624994,-0.08459476156249986,-0.056513165674490606,0.04517004578124996,-0.08807534249999988,0.00014223265625000204,-0.08010641084355928,-0.08318508562499984,0.22511270630331123
-0.038374995624999964,-0.08577275265625003,-0.05709057126649674,0.046944661466015516,-0.08870548484375,0.0010814917187499983,-0.08057192537480953,-0.08147909406249987,0.22539671005331066
